rally,avg_rally_length,epsilon,left_states,right_states
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
500,0.39,0.9048,4628,4540
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1000,0.48,0.8187,4898,4818
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
1500,0.35,0.7408,5002,4896
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
2000,0.43,0.6703,5108,5014
